x,y,z,x,y,z
0.0779393,0.44285846,0.011202803,0.0779393,0.44285846,0.011202803
0.08001834,0.46154323,0.013825872,0.08001834,0.46154323,0.013825872
0.07791367,0.45968378,0.02383145,0.07791367,0.45968378,0.02383145
0.07667343,0.44791058,0.020897822,0.07667343,0.44791058,0.020897822
0.07194727,0.4459685,0.044388063,0.07194727,0.4459685,0.044388063
0.072561465,0.43458837,0.031926967,0.072561465,0.43458837,0.031926967
0.07409981,0.44257125,0.026959078,0.07409981,0.44257125,0.026959078
0.07459707,0.45443544,0.033558533,0.07459707,0.45443544,0.033558533
0.0689005,0.39184555,0.02884324,0.0689005,0.39184555,0.02884324
0.069199204,0.39947647,0.032326177,0.069199204,0.39947647,0.032326177
